    CD_CUSTOMER_ID,SEGMENTO,NOME_AGENCIA,DATA_ABERTURA_CONTA,FLAG_PERFIL_SUITABILITY_PREENCHIDO,PERFIL_SUITABILITY,VALOR_CARTEIRA,CONTRATO_CREDITO_ATIVO,FLAG_PRE_APROVADO_CREDITO,VALOR_LIMITE_CREDITO,NOME_GERENTE,EMAIL_GEREN,CELULAR_GERENTE
    e99c9109-4250-4351-9698-7734b984bacc,MIDDLE,AG - PAULISTA,11/19/2008 06:04:03,1,AG - MOEMA,239475.78,0,0,929259.08,Vitor Xavier,vitor92@pf.com.br,58883790927
    40fb72ee-3146-4cde-82bf-dbb8a6cb490f,MIDDLE,AG - MOEMA,10/08/2021 07:41:36,0,AG - COPACABANA,854702.97,1,1,198908.48,Lorena Melo,lorena.melo@pf.com.br,36838152310
    c095af9b-2d14-4e41-97d5-bad1fca88ac5,CONTA DIGITAL,AG - ALPHAVILLE,10/17/2008 09:49:01,1,AG - MOEMA,634636.09,1,1,277854.85,Cecilia Barros,cecilia.barros11@pf.com.br,55902036122
    cca7b99c-e388-4fd7-843b-fc27f5c9ae2e,OFFICE,CONTA DIGITAL,11/10/2006 08:07:17,1,AG - PARAISO,158207.49,0,0,750688.01,Feliciano Carvalho,feliciano_carvalho66@pf.com.br,97628526120
    e6585a81-2b50-ebc3-2a3b-258045546cc6,MIDDLE,AG - PAULISTA,08/22/2014 11:32:09,0,AG - PARAISO,567150.64,1,0,495880.37,Manuela Silva,manuela.silva95@pf.com.br,82649315291
    74d2198c-fb7d-8720-ea14-fd5fd9bb088d,CONTA DIGITAL,AG - ALPHAVILLE,07/15/2006 09:10:18,0,CONTA DIGITAL,259947.84,1,0,558639.34,Lara Pereira,lara_pereira66@pf.com.br,03009864705
    fdf11f6c-b178-0c50-1527-8d043cd3e8e9,EMPRESAS II,CONTA DIGITAL,01/09/2001 17:20:25,1,AG - COPACABANA,308338.37,1,0,865877.90,Roberta Franco,roberta.franco28@pf.com.br,98247954540
    87b101fa-f7e4-0c9e-a158-a106177159c3,BUSINESS,AG - PAULISTA,08/06/2017 07:24:12,1,AG - MOEMA,477122.08,0,1,86896.60,Talita Carvalho,talita53@pf.com.br,43152829560
    7c45abf6-b706-31ec-ae30-a6908566913c,EMPRESAS II,AG - ALPHAVILLE,11/04/2003 02:49:25,1,AG - PAULISTA,585553.71,1,0,835685.55,Deneval Pereira,deneval64@pf.com.br,02640072589
    fab2e6b8-5dff-99df-0075-1a701750bfd5,CONTA DIGITAL,CONTA DIGITAL,08/19/2007 07:24:00,1,AG - COPACABANA,887481.45,0,1,943693.72,Lorraine Moreira,lorraine.moreira2@pf.com.br,76976239679
